#correcteur=P,Kp=80,Ki=0,Kd=0,FF=204.0,Vc=0.7
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
0.0,2,0.4529,0.006,0.7,-1.0,0.3,0.694,210.0
0.1,2,0.8382,0.4689,0.7,-1.0,0.3,0.2311,222.5
0.2,2,0.8445,0.744,0.7,-1.0,0.3,-0.044,200.5
0.3,2,0.9436,0.8774,0.7,-1.0,0.3,-0.1774,189.8
0.4,2,0.9495,0.892,0.7,-1.0,0.3,-0.192,188.6
0.5,2,0.8964,0.9114,0.7,-1.0,0.3,-0.2114,187.1
0.6,2,0.8109,0.9272,0.7,-1.0,0.3,-0.2272,185.8
0.7,2,0.8966,0.905,0.7,-1.0,0.3,-0.205,187.6
0.8,2,0.9495,0.9182,0.7,-1.0,0.3,-0.2182,186.5
0.9,2,0.8458,0.9198,0.7,-1.0,0.3,-0.2198,186.4
1.0,2,0.912,0.9482,0.7,-1.0,0.3,-0.2482,184.1
1.1,2,0.841,0.9263,0.7,-1.0,0.3,-0.2263,185.9
1.2,2,0.9349,0.92,0.7,-1.0,0.3,-0.22,186.4
1.3,2,0.9527,0.9144,0.7,-1.0,0.3,-0.2144,186.8
1.4,2,0.9122,0.9229,0.7,-1.0,0.3,-0.2229,186.2
1.5,2,1.0407,0.9225,0.7,-1.0,0.3,-0.2225,186.2
1.6,2,0.8648,0.9294,0.7,-1.0,0.3,-0.2294,185.6
1.7,2,0.8527,0.9381,0.7,-1.0,0.3,-0.2381,185.0
1.8,2,0.8088,0.9285,0.7,-1.0,0.3,-0.2285,185.7
1.9,2,0.9416,0.9105,0.7,-1.0,0.3,-0.2105,187.2
2.0,2,0.937,0.9387,0.7,-1.0,0.3,-0.2387,184.9
2.1,2,0.9093,0.9254,0.7,-1.0,0.3,-0.2254,186.0
2.2,2,0.8873,0.9096,0.7,-1.0,0.3,-0.2096,187.2
2.3,2,0.993,0.925,0.7,-1.0,0.3,-0.225,186.0
2.4,2,0.8217,0.9337,0.7,-1.0,0.3,-0.2337,185.3
2.5,2,0.9036,0.9314,0.7,-1.0,0.3,-0.2314,185.5
2.6,2,0.9653,0.9186,0.7,-1.0,0.3,-0.2186,186.5
2.7,2,0.9815,0.9409,0.7,-1.0,0.3,-0.2409,184.7
2.8,2,0.9099,0.9156,0.7,-1.0,0.3,-0.2156,186.8
2.9,2,0.9856,0.9325,0.7,-1.0,0.3,-0.2325,185.4
3.0,2,0.9172,0.9214,0.7,-1.0,0.3,-0.2214,186.3
3.1,2,0.8583,0.915,0.7,-1.0,0.3,-0.215,186.8
3.2,2,1.0081,0.9398,0.7,-1.0,0.3,-0.2398,184.8
3.3,2,0.9875,0.9258,0.7,-1.0,0.3,-0.2258,185.9
3.4,2,0.8879,0.9316,0.7,-1.0,0.3,-0.2316,185.5
3.5,2,1.0186,0.9309,0.7,-1.0,0.3,-0.2309,185.5
3.6,2,1.0209,0.9259,0.7,-1.0,0.3,-0.2259,185.9
3.7,2,0.9821,0.8956,0.7,-1.0,0.3,-0.1956,188.4
3.8,2,0.9113,0.9338,0.7,-1.0,0.3,-0.2338,185.3
3.9,2,0.8087,0.9304,0.7,-1.0,0.3,-0.2304,185.6
4.0,2,0.9495,0.9253,0.7,-1.0,0.3,-0.2253,186.0
4.1,2,0.8934,0.9458,0.7,-1.0,0.3,-0.2458,184.3
4.2,2,0.8979,0.9148,0.7,-1.0,0.3,-0.2148,186.8
4.3,2,0.9454,0.939,0.7,-1.0,0.3,-0.239,184.9
4.4,2,0.9586,0.9193,0.7,-1.0,0.3,-0.2193,186.5
4.5,2,0.9855,0.929,0.7,-1.0,0.3,-0.229,185.7
4.6,2,0.9092,0.9189,0.7,-1.0,0.3,-0.2189,186.5
4.7,2,0.841,0.9242,0.7,-1.0,0.3,-0.2242,186.1
4.8,2,0.943,0.9323,0.7,-1.0,0.3,-0.2323,185.4
4.9,2,0.9133,0.9274,0.7,-1.0,0.3,-0.2274,185.8
5.0,2,0.9051,0.9104,0.7,-1.0,0.3,-0.2104,187.2
5.1,2,0.8811,0.9262,0.7,-1.0,0.3,-0.2262,185.9
5.2,2,0.9527,0.9273,0.7,-1.0,0.3,-0.2273,185.8
5.3,2,0.9343,0.9511,0.7,-1.0,0.3,-0.2511,183.9
5.4,2,0.921,0.9269,0.7,-1.0,0.3,-0.2269,185.8
5.5,2,0.9291,0.9024,0.7,-1.0,0.3,-0.2024,187.8
5.6,2,1.0763,0.9314,0.7,-1.0,0.3,-0.2314,185.5
5.7,2,0.9463,0.9262,0.7,-1.0,0.3,-0.2262,185.9
5.8,2,0.8577,0.9278,0.7,-1.0,0.3,-0.2278,185.8
5.9,2,0.9702,0.9415,0.7,-1.0,0.3,-0.2415,184.7
6.0,2,0.8703,0.9346,0.7,-1.0,0.3,-0.2346,185.2
6.1,2,0.8393,0.9417,0.7,-1.0,0.3,-0.2417,184.7
