#correcteur=P,Kp=35.0,Ki=2.0,Kd=0.5,FF=190.8,Vc=0.40
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
4.398,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
4.498,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
4.598,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
4.698,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
4.798,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
4.898,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
4.998,2,1.7383,0.2017,0.4000,-1.0000,0.3000,0.1983,197.7
5.098,2,0.0000,0.2017,0.4000,-1.0000,0.3000,0.1983,197.7
5.198,2,0.0000,0.2017,0.4000,-1.0000,0.3000,0.1983,197.7
5.298,2,0.0000,0.3029,0.4000,-1.0000,0.3000,0.0971,194.2
5.398,2,1.7383,0.4306,0.4000,-1.0000,0.3000,-0.0306,189.7
5.498,2,0.0000,0.8934,0.4000,-1.0000,0.3000,-0.4934,173.5
5.598,2,0.0000,0.8244,0.4000,-1.0000,0.3000,-0.4244,175.9
5.698,2,0.0000,0.7995,0.4000,-1.0000,0.3000,-0.3995,176.8
5.798,2,0.0000,0.6203,0.4000,-1.0000,0.3000,-0.2203,183.1
5.898,2,1.7383,0.5677,0.4000,-1.0000,0.3000,-0.1677,184.9
5.998,2,0.0000,0.9085,0.4000,-1.0000,0.3000,-0.5085,173.0
6.098,2,1.7383,0.8621,0.4000,-1.0000,0.3000,-0.4621,174.6
6.198,2,0.0000,0.7439,0.4000,-1.0000,0.3000,-0.3439,178.7
6.298,2,1.7383,0.5910,0.4000,-1.0000,0.3000,-0.1910,184.1
6.398,2,0.0000,0.4698,0.4000,-1.0000,0.3000,-0.0698,188.3
6.498,2,0.0000,0.5233,0.4000,-1.0000,0.3000,-0.1233,186.5
6.598,2,0.0000,0.8941,0.4000,-1.0000,0.3000,-0.4941,173.5
6.699,2,0.0000,0.8033,0.4000,-1.0000,0.3000,-0.4033,176.7
6.799,2,0.0000,0.7706,0.4000,-1.0000,0.3000,-0.3706,177.8
6.899,2,0.0000,0.5887,0.4000,-1.0000,0.3000,-0.1887,184.2
6.999,2,1.7383,0.5363,0.4000,-1.0000,0.3000,-0.1363,186.0
7.099,2,1.7383,0.7314,0.4000,-1.0000,0.3000,-0.3314,179.2
7.199,2,1.7383,0.7948,0.4000,-1.0000,0.3000,-0.3948,177.0
7.299,2,0.0000,0.7393,0.4000,-1.0000,0.3000,-0.3393,178.9
7.399,2,1.7383,0.6330,0.4000,-1.0000,0.3000,-0.2330,182.6
7.499,2,1.7383,0.6145,0.4000,-1.0000,0.3000,-0.2145,183.3
7.599,2,1.7383,0.9002,0.4000,-1.0000,0.3000,-0.5002,173.3
7.699,2,1.7383,0.9657,0.4000,-1.0000,0.3000,-0.5657,171.0
7.799,2,0.0000,0.8771,0.4000,-1.0000,0.3000,-0.4771,174.1
7.899,2,0.0000,0.6561,0.4000,-1.0000,0.3000,-0.2561,181.8
7.999,2,1.7383,0.6019,0.4000,-1.0000,0.3000,-0.2019,183.7
8.099,2,1.7383,0.8295,0.4000,-1.0000,0.3000,-0.4295,175.7
8.200,2,1.7383,0.8911,0.4000,-1.0000,0.3000,-0.4911,173.6
8.300,2,0.0000,0.8177,0.4000,-1.0000,0.3000,-0.4177,176.1
8.400,2,0.0000,0.6124,0.4000,-1.0000,0.3000,-0.2124,183.3
8.500,2,1.7383,0.5627,0.4000,-1.0000,0.3000,-0.1627,185.1
8.600,2,1.7383,0.7840,0.4000,-1.0000,0.3000,-0.3840,177.3
8.700,3,1.7383,0.8379,0.4000,0.6493,0.3000,0.3493,107.3
8.800,3,0.0000,0.7609,0.4000,0.5819,0.3000,0.2819,37.3
8.900,3,0.0000,0.7332,0.4000,0.5690,0.3000,0.2690,9.4
9.000,3,0.0000,0.5343,0.4000,0.5647,0.3000,0.2647,9.3
9.100,3,0.0000,0.4626,0.4000,0.5649,0.3000,0.2649,9.3
9.200,3,1.7383,0.3923,0.4000,0.5649,0.3000,0.2649,9.3
9.300,3,0.0000,0.3403,0.4000,0.5649,0.3000,0.2649,9.3
9.405,2,0.0000,0.3216,0.4000,-1.0000,0.3000,0.0784,46.0
9.505,2,0.0000,0.3322,0.4000,-1.0000,0.3000,0.0678,81.0
9.605,2,0.0000,0.3360,0.4000,-1.0000,0.3000,0.0640,116.0
9.705,2,0.0000,0.3373,0.4000,-1.0000,0.3000,0.0627,151.0
9.805,2,0.0000,0.3378,0.4000,-1.0000,0.3000,0.0622,186.0
9.906,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
10.006,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
10.106,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
10.206,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
10.306,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
10.406,2,1.7383,0.0905,0.4000,-1.0000,0.3000,0.3095,201.6
10.506,2,0.0000,0.0905,0.4000,-1.0000,0.3000,0.3095,201.6
10.606,2,0.0000,0.0905,0.4000,-1.0000,0.3000,0.3095,201.6
10.706,2,1.7383,0.1789,0.4000,-1.0000,0.3000,0.2211,198.5
