#correcteur=PD,Kp=80,Ki=0,Kd=8,FF=204.0,Vc=0.7
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
0.0,2,0.4934,0.0,0.7,-1.0,0.3,0.7,210.0
0.1,2,0.7053,0.4754,0.7,-1.0,0.3,0.2246,183.9
0.2,2,0.743,0.6741,0.7,-1.0,0.3,0.0259,190.2
0.3,2,0.95,0.7714,0.7,-1.0,0.3,-0.0714,190.5
0.4,2,0.8722,0.856,0.7,-1.0,0.3,-0.156,184.7
0.5,2,0.9343,0.9032,0.7,-1.0,0.3,-0.2032,184.0
0.6,2,1.0456,0.9064,0.7,-1.0,0.3,-0.2064,187.2
0.7,2,0.9796,0.908,0.7,-1.0,0.3,-0.208,187.2
0.8,2,0.9391,0.9246,0.7,-1.0,0.3,-0.2246,184.7
0.9,2,0.95,0.9414,0.7,-1.0,0.3,-0.2414,183.4
1.0,2,0.9903,0.926,0.7,-1.0,0.3,-0.226,187.1
1.1,2,0.878,0.9216,0.7,-1.0,0.3,-0.2216,186.6
1.2,2,0.813,0.9158,0.7,-1.0,0.3,-0.2158,187.2
1.3,2,0.8512,0.9557,0.7,-1.0,0.3,-0.2557,180.4
1.4,2,0.9146,0.9148,0.7,-1.0,0.3,-0.2148,190.1
1.5,2,0.9736,0.9349,0.7,-1.0,0.3,-0.2349,183.6
1.6,2,0.8895,0.935,0.7,-1.0,0.3,-0.235,185.2
1.7,2,0.9458,0.9225,0.7,-1.0,0.3,-0.2225,187.2
1.8,2,1.0243,0.9258,0.7,-1.0,0.3,-0.2258,185.7
1.9,2,0.9692,0.9338,0.7,-1.0,0.3,-0.2338,184.7
2.0,2,0.9957,0.9331,0.7,-1.0,0.3,-0.2331,185.4
2.1,2,0.8494,0.9274,0.7,-1.0,0.3,-0.2274,186.3
2.2,2,0.8866,0.932,0.7,-1.0,0.3,-0.232,185.1
2.3,2,0.9652,0.9193,0.7,-1.0,0.3,-0.2193,187.5
2.4,2,0.9226,0.9449,0.7,-1.0,0.3,-0.2449,182.4
2.5,2,1.03,0.925,0.7,-1.0,0.3,-0.225,187.6
2.6,2,1.0822,0.9308,0.7,-1.0,0.3,-0.2308,185.1
2.7,2,0.8197,0.9328,0.7,-1.0,0.3,-0.2328,185.2
2.8,2,0.9476,0.9344,0.7,-1.0,0.3,-0.2344,185.1
2.9,2,0.963,0.9402,0.7,-1.0,0.3,-0.2402,184.3
3.0,2,0.8558,0.921,0.7,-1.0,0.3,-0.221,187.9
3.1,2,0.8765,0.9267,0.7,-1.0,0.3,-0.2267,185.4
3.2,2,0.9651,0.9206,0.7,-1.0,0.3,-0.2206,186.8
3.3,2,0.9433,0.9498,0.7,-1.0,0.3,-0.2498,181.7
3.4,2,0.9614,0.9053,0.7,-1.0,0.3,-0.2053,191.1
3.5,2,0.8834,0.9491,0.7,-1.0,0.3,-0.2491,180.6
3.6,2,0.9311,0.9184,0.7,-1.0,0.3,-0.2184,189.0
3.7,2,0.9686,0.9208,0.7,-1.0,0.3,-0.2208,186.1
3.8,2,0.9524,0.9283,0.7,-1.0,0.3,-0.2283,185.1
