#correcteur=PD,Kp=35.0,Ki=2.0,Kd=0.5,FF=190.8,Vc=0.40
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
6.773,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
6.873,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
6.973,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
7.073,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
7.173,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
7.273,2,1.7383,0.0443,0.4000,-1.0000,0.3000,0.3557,190.0
7.373,2,0.0000,0.0443,0.4000,-1.0000,0.3000,0.3557,203.2
7.474,2,0.0000,0.0443,0.4000,-1.0000,0.3000,0.3557,203.2
7.574,2,1.7383,0.1513,0.4000,-1.0000,0.3000,0.2487,198.4
7.674,2,0.0000,0.2541,0.4000,-1.0000,0.3000,0.1459,195.5
7.774,2,0.0000,0.2910,0.4000,-1.0000,0.3000,0.1090,194.4
7.874,2,0.0000,0.3530,0.4000,-1.0000,0.3000,0.0470,192.2
7.974,2,0.0000,0.5133,0.4000,-1.0000,0.3000,-0.1133,186.2
8.074,2,0.0000,0.9362,0.4000,-1.0000,0.3000,-0.5362,170.4
8.174,2,0.0000,0.8318,0.4000,-1.0000,0.3000,-0.4318,176.0
8.274,2,0.0000,0.7943,0.4000,-1.0000,0.3000,-0.3943,177.1
8.374,3,0.0000,0.5883,0.4000,0.5690,0.3000,0.2690,107.1
8.474,3,0.0000,0.5142,0.4000,0.5646,0.3000,0.2646,37.1
8.574,3,0.0000,0.4490,0.4000,0.5646,0.3000,0.2646,9.3
8.674,3,0.0000,0.4255,0.4000,0.7385,0.3000,0.4385,17.1
8.774,3,0.0000,0.4170,0.4000,0.6162,0.3000,0.3162,10.2
8.875,3,0.0000,0.4140,0.4000,0.6162,0.3000,0.3162,11.1
8.975,3,0.0000,0.0000,0.4000,0.5164,0.3000,0.2164,6.6
9.075,3,0.0000,0.0000,0.4000,1.0998,0.3000,0.7998,30.5
9.175,3,0.0000,0.0000,0.4000,0.6376,0.3000,0.3376,12.0
9.275,3,0.0000,0.0000,0.4000,0.9017,0.3000,0.6017,23.1
9.375,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
9.475,2,1.7383,0.0909,0.4000,-1.0000,0.3000,0.3091,201.6
9.575,2,0.0000,0.0909,0.4000,-1.0000,0.3000,0.3091,201.6
9.675,2,0.0000,0.0909,0.4000,-1.0000,0.3000,0.3091,201.6
