#correcteur=PI,Kp=60,Ki=15,Kd=0,FF=204.0,Vc=0.7
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
0.0,2,0.5241,0.0,0.7,-1.0,0.3,0.7,210.0
0.1,2,0.6543,0.4527,0.7,-1.0,0.3,0.2473,218.8
0.2,2,0.8977,0.7202,0.7,-1.0,0.3,-0.0202,203.8
0.3,2,1.0182,0.846,0.7,-1.0,0.3,-0.146,196.0
0.4,2,1.0374,0.8879,0.7,-1.0,0.3,-0.1879,193.2
0.5,2,0.9351,0.9381,0.7,-1.0,0.3,-0.2381,189.9
0.6,2,0.9676,0.9344,0.7,-1.0,0.3,-0.2344,189.7
0.7,2,1.0094,0.9432,0.7,-1.0,0.3,-0.2432,188.9
0.8,2,0.9509,0.9445,0.7,-1.0,0.3,-0.2445,188.4
0.9,2,0.938,0.9376,0.7,-1.0,0.3,-0.2376,188.5
1.0,2,0.8367,0.9451,0.7,-1.0,0.3,-0.2451,187.7
1.1,2,0.9848,0.9231,0.7,-1.0,0.3,-0.2231,188.6
1.2,2,0.9264,0.9423,0.7,-1.0,0.3,-0.2423,187.1
1.3,2,0.9566,0.9377,0.7,-1.0,0.3,-0.2377,187.0
1.4,2,0.8884,0.9293,0.7,-1.0,0.3,-0.2293,187.2
1.5,2,0.8742,0.9375,0.7,-1.0,0.3,-0.2375,186.4
1.6,2,0.8287,0.9378,0.7,-1.0,0.3,-0.2378,186.0
1.7,2,0.9565,0.9432,0.7,-1.0,0.3,-0.2432,185.3
1.8,2,0.9865,0.9312,0.7,-1.0,0.3,-0.2312,185.7
1.9,2,0.985,0.9475,0.7,-1.0,0.3,-0.2475,184.3
2.0,2,0.8508,0.9021,0.7,-1.0,0.3,-0.2021,186.7
2.1,2,0.928,0.9201,0.7,-1.0,0.3,-0.2201,185.3
2.2,2,0.8798,0.9327,0.7,-1.0,0.3,-0.2327,184.2
2.3,2,0.8771,0.9256,0.7,-1.0,0.3,-0.2256,184.6
2.4,2,0.8389,0.9151,0.7,-1.0,0.3,-0.2151,185.2
2.5,2,0.8431,0.9122,0.7,-1.0,0.3,-0.2122,185.4
2.6,2,0.9878,0.9125,0.7,-1.0,0.3,-0.2125,185.4
2.7,2,1.0827,0.9132,0.7,-1.0,0.3,-0.2132,185.3
2.8,2,0.9336,0.9307,0.7,-1.0,0.3,-0.2307,184.3
2.9,2,0.9658,0.9123,0.7,-1.0,0.3,-0.2123,185.4
3.0,2,0.9311,0.9168,0.7,-1.0,0.3,-0.2168,185.1
3.1,2,0.9131,0.9545,0.7,-1.0,0.3,-0.2545,182.8
3.2,2,0.8768,0.9327,0.7,-1.0,0.3,-0.2327,184.2
3.3,2,1.0272,0.9186,0.7,-1.0,0.3,-0.2186,185.0
3.4,2,1.0314,0.9134,0.7,-1.0,0.3,-0.2134,185.3
3.5,2,0.8876,0.9312,0.7,-1.0,0.3,-0.2312,184.2
3.6,2,0.9792,0.9289,0.7,-1.0,0.3,-0.2289,184.4
3.7,2,0.8265,0.9283,0.7,-1.0,0.3,-0.2283,184.4
3.8,2,0.9079,0.912,0.7,-1.0,0.3,-0.212,185.4
3.9,2,0.9598,0.9218,0.7,-1.0,0.3,-0.2218,184.8
4.0,2,0.842,0.9247,0.7,-1.0,0.3,-0.2247,184.6
4.1,2,0.9582,0.9267,0.7,-1.0,0.3,-0.2267,184.5
4.2,2,0.9859,0.9283,0.7,-1.0,0.3,-0.2283,184.4
4.3,2,0.948,0.9311,0.7,-1.0,0.3,-0.2311,184.3
4.4,2,0.8219,0.9196,0.7,-1.0,0.3,-0.2196,184.9
4.5,2,0.9338,0.9267,0.7,-1.0,0.3,-0.2267,184.5
4.6,2,0.8448,0.9246,0.7,-1.0,0.3,-0.2246,184.6
4.7,2,0.9868,0.9084,0.7,-1.0,0.3,-0.2084,185.6
4.8,2,0.9638,0.9231,0.7,-1.0,0.3,-0.2231,184.7
4.9,2,0.9243,0.9232,0.7,-1.0,0.3,-0.2232,184.7
5.0,2,0.8899,0.9338,0.7,-1.0,0.3,-0.2338,184.1
5.1,2,0.8938,0.922,0.7,-1.0,0.3,-0.222,184.8
5.2,2,0.9041,0.9163,0.7,-1.0,0.3,-0.2163,185.1
5.3,2,0.8933,0.9253,0.7,-1.0,0.3,-0.2253,184.6
5.4,2,0.8665,0.9371,0.7,-1.0,0.3,-0.2371,183.9
5.5,2,0.8953,0.918,0.7,-1.0,0.3,-0.218,185.0
5.6,2,0.9315,0.939,0.7,-1.0,0.3,-0.239,183.8
5.7,2,0.8304,0.9321,0.7,-1.0,0.3,-0.2321,184.2
5.8,2,0.9741,0.9227,0.7,-1.0,0.3,-0.2227,184.8
5.9,2,0.9854,0.9217,0.7,-1.0,0.3,-0.2217,184.8
6.0,2,1.0073,0.9152,0.7,-1.0,0.3,-0.2152,185.2
6.1,2,0.8971,0.9503,0.7,-1.0,0.3,-0.2503,183.1
6.2,2,1.0087,0.9135,0.7,-1.0,0.3,-0.2135,185.3
6.3,2,0.8881,0.9405,0.7,-1.0,0.3,-0.2405,183.7
6.4,2,0.9048,0.9144,0.7,-1.0,0.3,-0.2144,185.3
6.5,2,0.869,0.9056,0.7,-1.0,0.3,-0.2056,185.8
6.6,2,0.8786,0.9121,0.7,-1.0,0.3,-0.2121,185.4
6.7,2,0.9374,0.9242,0.7,-1.0,0.3,-0.2242,184.7
6.8,2,0.8604,0.942,0.7,-1.0,0.3,-0.242,183.6
6.9,2,0.907,0.9321,0.7,-1.0,0.3,-0.2321,184.2
7.0,2,0.9618,0.9193,0.7,-1.0,0.3,-0.2193,185.0
7.1,2,0.9466,0.9078,0.7,-1.0,0.3,-0.2078,185.6
7.2,2,0.9521,0.9256,0.7,-1.0,0.3,-0.2256,184.6
7.3,2,1.0693,0.9261,0.7,-1.0,0.3,-0.2261,184.6
7.4,2,0.8913,0.9143,0.7,-1.0,0.3,-0.2143,185.3
7.5,2,0.8903,0.9157,0.7,-1.0,0.3,-0.2157,185.2
7.6,2,0.9952,0.916,0.7,-1.0,0.3,-0.216,185.2
7.7,2,0.8865,0.9409,0.7,-1.0,0.3,-0.2409,183.7
7.8,2,0.9512,0.9107,0.7,-1.0,0.3,-0.2107,185.5
7.9,2,0.9614,0.9163,0.7,-1.0,0.3,-0.2163,185.1
8.0,2,0.8315,0.9258,0.7,-1.0,0.3,-0.2258,184.6
8.1,2,1.0276,0.941,0.7,-1.0,0.3,-0.241,183.7
8.2,2,0.899,0.9125,0.7,-1.0,0.3,-0.2125,185.4
8.3,2,0.9419,0.9256,0.7,-1.0,0.3,-0.2256,184.6
8.4,2,1.0416,0.9297,0.7,-1.0,0.3,-0.2297,184.3
8.5,2,0.8741,0.9189,0.7,-1.0,0.3,-0.2189,185.0
8.6,2,0.8805,0.9055,0.7,-1.0,0.3,-0.2055,185.8
8.7,2,1.0309,0.9239,0.7,-1.0,0.3,-0.2239,184.7
8.8,2,0.9369,0.917,0.7,-1.0,0.3,-0.217,185.1
8.9,2,0.9941,0.9233,0.7,-1.0,0.3,-0.2233,184.7
9.0,2,0.8866,0.9531,0.7,-1.0,0.3,-0.2531,182.9
9.1,2,0.9841,0.9126,0.7,-1.0,0.3,-0.2126,185.4
9.2,2,1.0316,0.9296,0.7,-1.0,0.3,-0.2296,184.3
9.3,2,0.8992,0.9278,0.7,-1.0,0.3,-0.2278,184.4
9.4,2,0.9872,0.9278,0.7,-1.0,0.3,-0.2278,184.4
9.5,2,0.9507,0.9305,0.7,-1.0,0.3,-0.2305,184.3
9.6,2,0.9899,0.9331,0.7,-1.0,0.3,-0.2331,184.1
9.7,2,0.9579,0.9363,0.7,-1.0,0.3,-0.2363,183.9
9.8,2,0.9299,0.917,0.7,-1.0,0.3,-0.217,185.1
9.9,2,0.8709,0.9356,0.7,-1.0,0.3,-0.2356,184.0
10.0,2,0.8971,0.9243,0.7,-1.0,0.3,-0.2243,184.7
10.1,2,0.9982,0.921,0.7,-1.0,0.3,-0.221,184.9
10.2,2,0.9244,0.9238,0.7,-1.0,0.3,-0.2238,184.7
10.3,2,0.9689,0.9053,0.7,-1.0,0.3,-0.2053,185.8
10.4,2,1.0518,0.9319,0.7,-1.0,0.3,-0.2319,184.2
10.5,2,0.9358,0.9184,0.7,-1.0,0.3,-0.2184,185.0
10.6,2,1.0167,0.9257,0.7,-1.0,0.3,-0.2257,184.6
10.7,2,0.9391,0.9209,0.7,-1.0,0.3,-0.2209,184.9
10.8,2,0.9325,0.9296,0.7,-1.0,0.3,-0.2296,184.3
10.9,2,0.9342,0.916,0.7,-1.0,0.3,-0.216,185.2
11.0,2,0.8591,0.9355,0.7,-1.0,0.3,-0.2355,184.0
11.1,2,0.8794,0.9223,0.7,-1.0,0.3,-0.2223,184.8
11.2,2,0.8286,0.9357,0.7,-1.0,0.3,-0.2357,184.0
11.3,2,0.9448,0.9133,0.7,-1.0,0.3,-0.2133,185.3
11.4,2,0.9158,0.941,0.7,-1.0,0.3,-0.241,183.7
11.5,2,1.0349,0.9131,0.7,-1.0,0.3,-0.2131,185.3
11.6,2,0.7925,0.9047,0.7,-1.0,0.3,-0.2047,185.8
11.7,2,0.8924,0.9297,0.7,-1.0,0.3,-0.2297,184.3
11.8,2,0.9665,0.9103,0.7,-1.0,0.3,-0.2103,185.5
11.9,2,0.8888,0.9269,0.7,-1.0,0.3,-0.2269,184.5
12.0,3,0.569,0.9073,0.7,1.1,0.3,0.8,0.0
12.1,3,0.2834,0.5245,0.7,1.084,0.3,0.784,0.0
12.2,3,0.0978,0.3115,0.7,1.068,0.3,0.768,0.0
12.3,3,0.0492,0.1437,0.7,1.052,0.3,0.752,0.0
12.4,3,0.0654,0.0902,0.7,1.036,0.3,0.736,0.0
12.5,3,0.5108,0.0479,0.7,1.02,0.3,0.72,210.0
12.6,3,0.6551,0.4746,0.7,1.004,0.3,0.704,134.0
12.7,3,0.3854,0.5675,0.7,0.988,0.3,0.688,0.0
12.8,3,0.2057,0.3225,0.7,0.972,0.3,0.672,0.0
12.9,3,0.1267,0.1851,0.7,0.956,0.3,0.656,0.0
13.0,3,0.1357,0.1075,0.7,0.94,0.3,0.64,0.0
13.1,3,0.535,0.0583,0.7,0.924,0.3,0.624,210.0
13.2,3,0.6565,0.4914,0.7,0.908,0.3,0.608,134.0
13.3,3,0.4273,0.5619,0.7,0.892,0.3,0.592,0.0
13.4,3,0.0929,0.3188,0.7,0.876,0.3,0.576,0.0
13.5,3,0.0592,0.1803,0.7,0.86,0.3,0.56,0.0
13.6,3,0.0169,0.1102,0.7,0.844,0.3,0.544,0.0
13.7,3,0.3792,0.0507,0.7,0.828,0.3,0.528,210.0
13.8,3,0.4247,0.4871,0.7,0.812,0.3,0.512,134.0
13.9,3,0.3649,0.5511,0.7,0.796,0.3,0.496,0.0
14.0,3,0.2043,0.3287,0.7,0.78,0.3,0.48,0.0
14.1,3,0.0973,0.1672,0.7,0.764,0.3,0.464,0.0
14.2,3,0.0,0.1001,0.7,0.748,0.3,0.448,0.0
14.3,3,0.084,0.0741,0.7,0.732,0.3,0.432,0.0
14.4,3,0.4804,0.0287,0.7,0.716,0.3,0.416,210.0
14.5,3,0.4399,0.4813,0.7,0.7,0.3,0.4,134.0
14.6,3,0.274,0.5594,0.7,0.684,0.3,0.384,0.0
14.7,3,0.1595,0.3029,0.7,0.668,0.3,0.368,0.0
14.8,3,0.1372,0.1979,0.7,0.652,0.3,0.352,0.0
14.9,3,0.0897,0.0919,0.7,0.636,0.3,0.336,0.0
15.0,3,0.0865,0.0721,0.7,0.62,0.3,0.32,0.0
15.1,3,0.4397,0.0317,0.7,0.604,0.3,0.304,210.0
15.2,3,0.5859,0.4869,0.7,0.588,0.3,0.288,134.0
15.3,3,0.353,0.573,0.7,0.572,0.3,0.272,0.0
15.4,3,0.1442,0.3275,0.7,0.556,0.3,0.256,0.0
15.5,3,0.1106,0.1921,0.7,0.54,0.3,0.24,0.0
15.6,3,0.0139,0.1236,0.7,0.524,0.3,0.224,0.0
15.7,3,0.0428,0.0761,0.7,0.508,0.3,0.208,0.0
15.8,3,0.4495,0.0231,0.7,0.492,0.3,0.192,210.0
15.9,3,0.5877,0.4747,0.7,0.476,0.3,0.176,134.0
16.0,3,0.2804,0.5685,0.7,0.46,0.3,0.16,0.0
16.1,3,0.3049,0.3146,0.7,0.444,0.3,0.144,0.0
16.2,3,0.1249,0.1971,0.7,0.428,0.3,0.128,0.0
16.3,3,0.0625,0.0992,0.7,0.412,0.3,0.112,0.0
16.4,3,0.0,0.0627,0.7,0.396,0.3,0.096,0.0
16.5,3,0.3784,0.0279,0.7,0.38,0.3,0.08,210.0
16.6,3,0.6011,0.4833,0.7,0.364,0.3,0.064,134.0
16.7,3,0.4093,0.5564,0.7,0.348,0.3,0.048,0.0
16.8,3,0.0885,0.3001,0.7,0.332,0.3,0.032,0.0
16.9,3,0.1616,0.179,0.7,0.316,0.3,0.016,0.0
17.0,3,0.0278,0.1189,0.7,0.3,0.3,0.0,0.0
17.1,3,0.0287,0.0682,0.7,0.3045,0.3,0.0045,0.0
17.2,3,0.5315,0.0289,0.7,0.3088,0.3,0.0088,210.0
17.3,3,0.4677,0.4863,0.7,0.3128,0.3,0.0128,134.0
17.4,3,0.3977,0.58,0.7,0.3164,0.3,0.0164,0.0
17.5,3,0.2001,0.3073,0.7,0.3195,0.3,0.0195,0.0
17.6,3,0.1144,0.1822,0.7,0.322,0.3,0.022,0.0
17.7,3,0.015,0.0921,0.7,0.3238,0.3,0.0238,0.0
17.8,3,0.5625,0.055,0.7,0.3248,0.3,0.0248,210.0
17.9,3,0.5476,0.4987,0.7,0.325,0.3,0.025,134.0
18.0,3,0.1482,0.5791,0.7,0.3244,0.3,0.0244,0.0
18.1,3,0.0743,0.3329,0.7,0.323,0.3,0.023,0.0
18.2,3,0.0329,0.1744,0.7,0.3209,0.3,0.0209,0.0
18.3,3,0.1257,0.0845,0.7,0.3181,0.3,0.0181,0.0
18.4,3,0.5134,0.0504,0.7,0.3147,0.3,0.0147,210.0
18.5,3,0.5987,0.492,0.7,0.3108,0.3,0.0108,134.0
18.6,3,0.2423,0.571,0.7,0.3067,0.3,0.0067,0.0
18.7,3,0.1492,0.3312,0.7,0.3022,0.3,0.0022,0.0
18.8,3,0.0744,0.1601,0.7,0.2978,0.3,-0.0022,0.0
18.9,3,0.1071,0.1181,0.7,0.2933,0.3,-0.0067,0.0
19.0,3,0.4716,0.0519,0.7,0.2892,0.3,-0.0108,210.0
19.1,3,0.6164,0.4887,0.7,0.2853,0.3,-0.0147,-0.9
19.2,3,0.3012,0.4964,0.7,0.2819,0.3,-0.0181,0.0
19.3,3,0.1686,0.2878,0.7,0.2791,0.3,-0.0209,0.0
19.4,3,0.0746,0.1511,0.7,0.277,0.3,-0.023,0.0
19.5,3,0.0461,0.0855,0.7,0.2756,0.3,-0.0244,0.0
19.6,3,0.0302,0.0571,0.7,0.275,0.3,-0.025,0.0
19.7,3,0.0103,0.0359,0.7,0.2752,0.3,-0.0248,0.0
19.8,3,0.0,0.0161,0.7,0.2762,0.3,-0.0238,0.0
19.9,3,0.0293,0.0195,0.7,0.278,0.3,-0.022,0.0
20.0,3,0.0,0.0205,0.7,0.2805,0.3,-0.0195,0.0
20.1,3,0.0001,0.0336,0.7,0.2836,0.3,-0.0164,0.0
20.2,3,0.0,0.0218,0.7,0.2872,0.3,-0.0128,0.0
20.3,3,0.0,0.0158,0.7,0.2912,0.3,-0.0088,0.0
20.4,3,0.5808,0.001,0.7,0.2955,0.3,-0.0045,210.0
20.5,3,0.5682,0.4636,0.7,0.3,0.3,0.0,134.0
20.6,3,0.3407,0.5656,0.7,0.3045,0.3,0.0045,0.0
20.7,3,0.196,0.3127,0.7,0.3088,0.3,0.0088,0.0
20.8,3,0.094,0.203,0.7,0.3128,0.3,0.0128,0.0
20.9,3,0.1176,0.0999,0.7,0.3164,0.3,0.0164,0.0
21.0,3,0.1018,0.0679,0.7,0.3195,0.3,0.0195,0.0
