#correcteur=PI,Kp=35.0,Ki=2.0,Kd=0.5,FF=190.8,Vc=0.40
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
3.353,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
3.453,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
3.553,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.9
3.653,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.0
3.753,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
3.853,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
3.953,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.1
4.054,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.2
4.154,2,1.7383,0.3427,0.4000,-1.0000,0.3000,0.0573,193.2
4.254,2,1.7383,0.5499,0.4000,-1.0000,0.3000,-0.1499,186.0
4.354,2,0.0000,0.7488,0.4000,-1.0000,0.3000,-0.3488,178.9
4.454,2,0.0000,0.6661,0.4000,-1.0000,0.3000,-0.2661,181.8
4.554,3,1.7383,0.6020,0.4000,0.5678,0.3000,0.2678,111.8
4.654,3,0.0000,0.5584,0.4000,0.5678,0.3000,0.2678,41.8
4.754,3,0.0000,0.5767,0.4000,0.5678,0.3000,0.2678,9.4
4.854,2,1.7383,0.6729,0.4000,-1.0000,0.3000,-0.2729,26.9
4.954,2,0.0000,0.7612,0.4000,-1.0000,0.3000,-0.3612,61.9
5.054,2,0.0000,0.7930,0.4000,-1.0000,0.3000,-0.3930,96.9
5.154,2,0.0000,0.4936,0.4000,-1.0000,0.3000,-0.0936,131.9
5.254,2,0.0000,0.3858,0.4000,-1.0000,0.3000,0.0142,166.9
5.354,2,0.0000,0.3470,0.4000,-1.0000,0.3000,0.0530,192.6
5.454,2,0.0000,0.3331,0.4000,-1.0000,0.3000,0.0669,193.1
5.554,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
5.654,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
5.754,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.9
5.854,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.0
5.954,2,0.0000,0.1081,0.4000,-1.0000,0.3000,0.2919,201.3
6.054,2,0.0000,0.1081,0.4000,-1.0000,0.3000,0.2919,201.3
6.154,2,0.0000,0.3298,0.4000,-1.0000,0.3000,0.0702,193.6
6.254,2,0.0000,0.7514,0.4000,-1.0000,0.3000,-0.3514,178.8
6.354,2,0.0000,0.7193,0.4000,-1.0000,0.3000,-0.3193,179.8
6.454,3,1.7383,0.6654,0.4000,0.6702,0.3000,0.3702,145.1
6.554,3,1.7383,0.6872,0.4000,0.6032,0.3000,0.3032,75.1
6.654,3,1.7383,0.8938,0.4000,0.6032,0.3000,0.3032,10.6
6.754,1,0.0000,1.0635,0.4000,0.5678,0.3000,0.2678,-255.0
6.854,3,0.0000,0.6929,0.4000,0.5678,0.3000,0.2678,0.0
6.955,3,0.0000,0.5595,0.4000,0.5678,0.3000,0.2678,0.0
7.055,2,0.0000,0.5115,0.4000,-1.0000,0.3000,-0.1115,0.0
7.155,2,0.0000,0.4942,0.4000,-1.0000,0.3000,-0.0942,0.0
7.255,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
7.355,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
7.455,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
7.555,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.9
7.655,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
7.755,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
7.855,2,0.0000,0.0888,0.4000,-1.0000,0.3000,0.3112,201.9
7.955,2,0.0000,0.0888,0.4000,-1.0000,0.3000,0.3112,202.0
8.055,2,0.0000,0.2990,0.4000,-1.0000,0.3000,0.1010,194.7
8.155,2,0.0000,0.7063,0.4000,-1.0000,0.3000,-0.3063,180.4
8.255,2,1.7383,0.7460,0.4000,-1.0000,0.3000,-0.3460,178.9
8.355,2,0.0000,0.6961,0.4000,-1.0000,0.3000,-0.2961,180.6
8.456,2,0.0000,0.5816,0.4000,-1.0000,0.3000,-0.1816,184.6
8.556,2,0.0000,0.6645,0.4000,-1.0000,0.3000,-0.2645,181.6
8.656,2,0.0000,1.0974,0.4000,-1.0000,0.3000,-0.6974,166.4
8.756,2,0.0000,0.9455,0.4000,-1.0000,0.3000,-0.5455,171.7
8.856,2,1.7383,0.7797,0.4000,-1.0000,0.3000,-0.3797,177.6
