#correcteur=PID,Kp=60,Ki=15,Kd=8,FF=204.0,Vc=0.7
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
0.0,2,0.4071,0.0045,0.7,-1.0,0.3,0.6955,210.0
0.1,2,0.7282,0.4507,0.7,-1.0,0.3,0.2493,183.3
0.2,2,0.8917,0.6464,0.7,-1.0,0.3,0.0536,192.7
0.3,2,0.8979,0.7823,0.7,-1.0,0.3,-0.0823,189.2
0.4,2,0.9339,0.8557,0.7,-1.0,0.3,-0.1557,189.6
0.5,2,0.9106,0.8911,0.7,-1.0,0.3,-0.1911,190.2
0.6,2,0.8693,0.9208,0.7,-1.0,0.3,-0.2208,188.5
0.7,2,0.9027,0.9383,0.7,-1.0,0.3,-0.2383,188.1
0.8,2,0.8808,0.9308,0.7,-1.0,0.3,-0.2308,190.2
0.9,2,0.9374,0.9097,0.7,-1.0,0.3,-0.2097,192.2
1.0,2,0.975,0.9778,0.7,-1.0,0.3,-0.2778,180.6
1.1,2,0.9271,0.9277,0.7,-1.0,0.3,-0.2277,192.7
1.2,2,0.9697,0.9431,0.7,-1.0,0.3,-0.2431,186.2
1.3,2,1.0086,0.9227,0.7,-1.0,0.3,-0.2227,189.9
1.4,2,0.9747,0.9504,0.7,-1.0,0.3,-0.2504,184.1
1.5,2,0.9353,0.9369,0.7,-1.0,0.3,-0.2369,187.8
1.6,2,0.9663,0.9422,0.7,-1.0,0.3,-0.2422,185.6
1.7,2,0.8995,0.9265,0.7,-1.0,0.3,-0.2265,187.9
1.8,2,1.0224,0.9351,0.7,-1.0,0.3,-0.2351,185.1
1.9,2,0.846,0.9146,0.7,-1.0,0.3,-0.2146,188.3
2.0,2,0.9287,0.9361,0.7,-1.0,0.3,-0.2361,183.3
2.1,2,0.9412,0.9278,0.7,-1.0,0.3,-0.2278,185.9
2.2,2,1.0154,0.9239,0.7,-1.0,0.3,-0.2239,185.4
2.3,2,0.8799,0.9068,0.7,-1.0,0.3,-0.2068,187.2
2.4,2,0.8232,0.9284,0.7,-1.0,0.3,-0.2284,182.7
2.5,2,1.0236,0.9197,0.7,-1.0,0.3,-0.2197,185.6
2.6,2,0.936,0.9241,0.7,-1.0,0.3,-0.2241,184.3
2.7,2,0.8902,0.907,0.7,-1.0,0.3,-0.207,187.1
2.8,2,0.9032,0.9227,0.7,-1.0,0.3,-0.2227,183.5
2.9,2,0.9511,0.9376,0.7,-1.0,0.3,-0.2376,182.7
3.0,2,0.9427,0.9043,0.7,-1.0,0.3,-0.2043,188.5
3.1,2,0.9871,0.9339,0.7,-1.0,0.3,-0.2339,181.7
3.2,2,0.8567,0.9376,0.7,-1.0,0.3,-0.2376,183.6
3.3,2,0.8513,0.9078,0.7,-1.0,0.3,-0.2078,188.0
3.4,2,0.9497,0.924,0.7,-1.0,0.3,-0.224,183.4
3.5,2,0.9142,0.9336,0.7,-1.0,0.3,-0.2336,183.3
3.6,2,0.9337,0.9149,0.7,-1.0,0.3,-0.2149,186.7
3.7,2,1.05,0.9145,0.7,-1.0,0.3,-0.2145,185.3
3.8,2,0.9385,0.9053,0.7,-1.0,0.3,-0.2053,186.5
3.9,2,0.9135,0.9517,0.7,-1.0,0.3,-0.2517,179.3
4.0,2,0.9044,0.9109,0.7,-1.0,0.3,-0.2109,188.7
4.1,2,1.0042,0.9237,0.7,-1.0,0.3,-0.2237,183.7
4.2,2,1.0226,0.8953,0.7,-1.0,0.3,-0.1953,188.7
4.3,2,0.9089,0.9135,0.7,-1.0,0.3,-0.2135,183.9
4.4,2,0.9583,0.9197,0.7,-1.0,0.3,-0.2197,184.4
4.5,2,0.9556,0.9038,0.7,-1.0,0.3,-0.2038,187.2
4.6,2,0.8312,0.9522,0.7,-1.0,0.3,-0.2522,179.1
4.7,2,0.8848,0.9152,0.7,-1.0,0.3,-0.2152,188.2
4.8,2,0.9212,0.9296,0.7,-1.0,0.3,-0.2296,183.2
4.9,2,0.9546,0.9123,0.7,-1.0,0.3,-0.2123,186.8
5.0,2,0.9032,0.947,0.7,-1.0,0.3,-0.247,180.5
5.1,2,0.8444,0.9233,0.7,-1.0,0.3,-0.2233,186.6
5.2,2,0.9543,0.9106,0.7,-1.0,0.3,-0.2106,186.5
5.3,2,0.937,0.9437,0.7,-1.0,0.3,-0.2437,180.8
5.4,2,0.9255,0.9119,0.7,-1.0,0.3,-0.2119,188.0
5.5,2,0.9621,0.9105,0.7,-1.0,0.3,-0.2105,185.6
5.6,2,0.8907,0.9365,0.7,-1.0,0.3,-0.2365,181.9
5.7,2,0.9413,0.9122,0.7,-1.0,0.3,-0.2122,187.3
5.8,2,0.9189,0.9201,0.7,-1.0,0.3,-0.2201,184.3
5.9,2,0.8995,0.9481,0.7,-1.0,0.3,-0.2481,181.0
6.0,2,0.8873,0.91,0.7,-1.0,0.3,-0.21,188.6
6.1,2,0.9075,0.935,0.7,-1.0,0.3,-0.235,182.0
6.2,2,1.0052,0.9105,0.7,-1.0,0.3,-0.2105,187.4
6.3,2,0.8799,0.9429,0.7,-1.0,0.3,-0.2429,180.9
6.4,2,0.9916,0.8935,0.7,-1.0,0.3,-0.1935,190.5
6.5,2,0.9694,0.923,0.7,-1.0,0.3,-0.223,182.4
6.6,2,0.9831,0.8983,0.7,-1.0,0.3,-0.1983,188.2
6.7,2,0.9682,0.915,0.7,-1.0,0.3,-0.215,183.9
6.8,2,0.8642,0.9245,0.7,-1.0,0.3,-0.2245,183.9
6.9,2,0.9651,0.9166,0.7,-1.0,0.3,-0.2166,185.8
7.0,2,0.9564,0.9252,0.7,-1.0,0.3,-0.2252,183.9
7.1,2,0.8214,0.945,0.7,-1.0,0.3,-0.245,181.8
7.2,2,0.9248,0.9347,0.7,-1.0,0.3,-0.2347,184.9
7.3,2,0.847,0.9077,0.7,-1.0,0.3,-0.2077,187.8
7.4,2,0.9769,0.9245,0.7,-1.0,0.3,-0.2245,183.3
7.5,2,1.0136,0.92,0.7,-1.0,0.3,-0.22,185.3
7.6,2,0.9267,0.9055,0.7,-1.0,0.3,-0.2055,186.9
7.7,2,0.9471,0.9124,0.7,-1.0,0.3,-0.2124,184.8
7.8,2,0.8928,0.9359,0.7,-1.0,0.3,-0.2359,182.1
7.9,2,0.9451,0.8868,0.7,-1.0,0.3,-0.1868,190.8
8.0,2,0.9414,0.9384,0.7,-1.0,0.3,-0.2384,179.7
8.1,2,0.855,0.932,0.7,-1.0,0.3,-0.232,184.7
8.2,2,0.9923,0.9274,0.7,-1.0,0.3,-0.2274,184.8
8.3,2,0.9485,0.8994,0.7,-1.0,0.3,-0.1994,188.4
8.4,2,0.917,0.9233,0.7,-1.0,0.3,-0.2233,182.8
8.5,2,0.8918,0.9261,0.7,-1.0,0.3,-0.2261,184.3
8.6,2,0.9272,0.913,0.7,-1.0,0.3,-0.213,186.4
8.7,2,0.8602,0.9121,0.7,-1.0,0.3,-0.2121,185.5
8.8,2,0.8498,0.9335,0.7,-1.0,0.3,-0.2335,182.4
8.9,2,0.9486,0.9267,0.7,-1.0,0.3,-0.2267,185.1
9.0,2,0.8884,0.9002,0.7,-1.0,0.3,-0.2002,188.2
9.1,2,0.8568,0.9434,0.7,-1.0,0.3,-0.2434,180.1
9.2,2,0.9538,0.9101,0.7,-1.0,0.3,-0.2101,188.2
9.3,2,0.9031,0.9354,0.7,-1.0,0.3,-0.2354,182.0
9.4,2,1.0111,0.911,0.7,-1.0,0.3,-0.211,187.4
9.5,2,0.9735,0.9466,0.7,-1.0,0.3,-0.2466,180.5
9.6,2,0.8758,0.9158,0.7,-1.0,0.3,-0.2158,187.6
9.7,2,0.9561,0.9144,0.7,-1.0,0.3,-0.2144,185.4
9.8,2,1.004,0.9297,0.7,-1.0,0.3,-0.2297,183.1
9.9,2,0.8304,0.9278,0.7,-1.0,0.3,-0.2278,184.6
10.0,2,0.859,0.9332,0.7,-1.0,0.3,-0.2332,183.7
10.1,2,0.9398,0.9143,0.7,-1.0,0.3,-0.2143,186.8
10.2,2,1.1007,0.9487,0.7,-1.0,0.3,-0.2487,180.4
10.3,2,0.9116,0.9214,0.7,-1.0,0.3,-0.2214,187.0
10.4,2,0.9735,0.929,0.7,-1.0,0.3,-0.229,183.8
10.5,2,1.0318,0.9164,0.7,-1.0,0.3,-0.2164,186.1
10.6,2,0.9507,0.9269,0.7,-1.0,0.3,-0.2269,183.7
10.7,2,0.9456,0.9288,0.7,-1.0,0.3,-0.2288,184.2
10.8,2,0.8828,0.9303,0.7,-1.0,0.3,-0.2303,184.2
10.9,2,0.8591,0.9131,0.7,-1.0,0.3,-0.2131,186.7
11.0,2,0.9665,0.9304,0.7,-1.0,0.3,-0.2304,182.9
11.1,2,1.0218,0.9252,0.7,-1.0,0.3,-0.2252,185.0
11.2,2,0.9627,0.9213,0.7,-1.0,0.3,-0.2213,185.2
11.3,2,0.903,0.9095,0.7,-1.0,0.3,-0.2095,186.5
11.4,2,0.9694,0.9345,0.7,-1.0,0.3,-0.2345,182.0
11.5,2,0.9202,0.9149,0.7,-1.0,0.3,-0.2149,186.8
11.6,2,0.9057,0.9063,0.7,-1.0,0.3,-0.2063,186.4
11.7,2,0.9519,0.9378,0.7,-1.0,0.3,-0.2378,181.3
11.8,2,0.9249,0.9234,0.7,-1.0,0.3,-0.2234,185.9
11.9,2,0.8827,0.922,0.7,-1.0,0.3,-0.222,184.9
12.0,3,0.5418,0.9307,0.7,1.1,0.3,0.8,0.0
12.1,3,0.2577,0.5224,0.7,1.084,0.3,0.784,0.0
12.2,3,0.2278,0.2634,0.7,1.068,0.3,0.768,0.0
12.3,3,0.0389,0.1562,0.7,1.052,0.3,0.752,0.0
12.4,3,0.0273,0.099,0.7,1.036,0.3,0.736,0.0
12.5,3,0.0655,0.0635,0.7,1.02,0.3,0.72,0.0
12.6,3,0.3951,0.0366,0.7,1.004,0.3,0.704,210.0
12.7,3,0.5771,0.4916,0.7,0.988,0.3,0.688,134.0
12.8,3,0.323,0.557,0.7,0.972,0.3,0.672,0.0
12.9,3,0.2006,0.2931,0.7,0.956,0.3,0.656,0.0
13.0,3,0.0174,0.1637,0.7,0.94,0.3,0.64,0.0
13.1,3,0.122,0.0803,0.7,0.924,0.3,0.624,0.0
13.2,3,0.5841,0.0477,0.7,0.908,0.3,0.608,210.0
13.3,3,0.4674,0.4857,0.7,0.892,0.3,0.592,134.0
13.4,3,0.3933,0.5565,0.7,0.876,0.3,0.576,0.0
