#correcteur=PID,Kp=35.0,Ki=2.0,Kd=0.5,FF=190.8,Vc=0.40
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
3.130,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
3.230,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
3.330,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.9
3.430,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.0
3.530,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
3.630,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
3.730,2,0.0000,0.1743,0.4000,-1.0000,0.3000,0.2257,199.0
3.830,2,1.7383,0.3671,0.4000,-1.0000,0.3000,0.0329,190.3
3.930,2,0.0000,0.5521,0.4000,-1.0000,0.3000,-0.1521,185.1
4.030,2,0.0000,0.5319,0.4000,-1.0000,0.3000,-0.1319,186.5
4.130,2,0.0000,0.5247,0.4000,-1.0000,0.3000,-0.1247,186.7
4.230,2,0.0000,0.4957,0.4000,-1.0000,0.3000,-0.0957,187.8
4.330,2,0.0000,0.6224,0.4000,-1.0000,0.3000,-0.2224,182.7
4.430,2,0.0000,1.0766,0.4000,-1.0000,0.3000,-0.6766,165.5
4.530,2,0.0000,0.9463,0.4000,-1.0000,0.3000,-0.5463,172.3
4.630,2,1.7383,0.7827,0.4000,-1.0000,0.3000,-0.3827,178.9
4.730,2,1.7383,0.6699,0.4000,-1.0000,0.3000,-0.2699,181.7
4.830,2,1.7383,0.8589,0.4000,-1.0000,0.3000,-0.4589,172.6
4.930,2,1.7383,0.8914,0.4000,-1.0000,0.3000,-0.4914,174.5
5.030,2,0.0000,0.8025,0.4000,-1.0000,0.3000,-0.4025,177.0
5.130,2,1.7383,0.6529,0.4000,-1.0000,0.3000,-0.2529,183.3
5.230,2,0.0000,0.5284,0.4000,-1.0000,0.3000,-0.1284,186.8
5.330,2,1.7383,0.4959,0.4000,-1.0000,0.3000,-0.0959,187.5
5.430,2,0.0000,0.8184,0.4000,-1.0000,0.3000,-0.4184,174.8
5.530,2,1.7383,0.8057,0.4000,-1.0000,0.3000,-0.4057,177.3
5.630,2,0.0000,0.7240,0.4000,-1.0000,0.3000,-0.3240,179.6
5.730,2,1.7383,0.6024,0.4000,-1.0000,0.3000,-0.2024,184.6
5.830,2,0.0000,0.5034,0.4000,-1.0000,0.3000,-0.1034,187.3
5.931,2,1.7043,0.8019,0.4000,-1.0000,0.3000,-0.4019,174.0
6.031,2,1.7383,0.8770,0.4000,-1.0000,0.3000,-0.4770,174.6
6.131,2,0.0000,0.8047,0.4000,-1.0000,0.3000,-0.4047,176.6
6.231,2,1.7383,0.6613,0.4000,-1.0000,0.3000,-0.2613,182.7
6.331,2,0.0000,0.5393,0.4000,-1.0000,0.3000,-0.1393,186.1
6.431,2,0.0000,0.5130,0.4000,-1.0000,0.3000,-0.1130,186.6
6.531,2,0.0000,0.8259,0.4000,-1.0000,0.3000,-0.4259,174.4
6.631,2,1.7383,0.7926,0.4000,-1.0000,0.3000,-0.3926,177.8
6.731,2,0.0000,0.6930,0.4000,-1.0000,0.3000,-0.2930,180.5
6.831,2,1.7383,0.5592,0.4000,-1.0000,0.3000,-0.1592,185.9
6.931,2,0.0000,0.4523,0.4000,-1.0000,0.3000,-0.0523,188.9
7.031,2,0.0000,0.5225,0.4000,-1.0000,0.3000,-0.1225,185.8
7.131,2,0.0000,0.8926,0.4000,-1.0000,0.3000,-0.4926,171.7
7.231,2,0.0000,0.7784,0.4000,-1.0000,0.3000,-0.3784,177.5
7.331,2,0.0000,0.7373,0.4000,-1.0000,0.3000,-0.3373,178.6
7.432,2,0.0000,0.5507,0.4000,-1.0000,0.3000,-0.1507,185.7
7.532,2,1.7383,0.5479,0.4000,-1.0000,0.3000,-0.1479,184.7
7.632,2,1.7383,0.8118,0.4000,-1.0000,0.3000,-0.4118,173.3
7.732,2,1.7383,0.8884,0.4000,-1.0000,0.3000,-0.4884,173.7
7.832,2,0.0000,0.8236,0.4000,-1.0000,0.3000,-0.4236,175.6
7.932,2,0.0000,0.6158,0.4000,-1.0000,0.3000,-0.2158,183.4
8.032,2,0.0000,0.5409,0.4000,-1.0000,0.3000,-0.1409,185.5
8.132,2,1.7383,0.7672,0.4000,-1.0000,0.3000,-0.3672,175.0
