#correcteur=P,Kp=50.0,Ki=8.0,Kd=5.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
11.687,0.0000,0.0000,0.4000,0.0554,0.3000,-0.2446,-255.0
11.787,1.7383,0.0000,0.4000,0.0394,0.3000,-0.2606,-255.0
11.887,1.7383,1.7064,0.4000,0.0394,0.3000,-0.2606,-255.0
11.987,1.7383,2.2578,0.4000,-1.0000,0.3000,-1.8578,-92.9
12.087,0.0000,2.1183,0.4000,-1.0000,0.3000,-1.7183,-85.9
12.187,1.7383,2.5141,0.4000,-1.0000,0.3000,-2.1141,-105.7
12.288,0.0000,1.7840,0.4000,-1.0000,0.3000,-1.3840,-69.2
12.388,1.7383,1.5082,0.4000,-1.0000,0.3000,-1.1082,-55.4
12.488,1.7383,1.2281,0.4000,-1.0000,0.3000,-0.8281,-41.4
12.588,1.7383,0.7346,0.4000,0.0947,0.3000,-0.2053,-255.0
12.688,3.4767,2.5103,0.4000,0.9180,0.3000,0.6180,0.0
12.788,0.0000,2.0794,0.4000,0.9805,0.3000,0.6805,0.0
12.888,1.7383,1.1552,0.4000,1.3346,0.3000,1.0346,0.0
12.988,1.7383,0.9741,0.4000,1.3351,0.3000,1.0351,0.0
13.088,1.7383,0.7062,0.4000,1.3305,0.3000,1.0305,0.0
13.188,0.0000,0.7062,0.4000,1.3351,0.3000,1.0351,0.0
13.288,0.0000,0.7062,0.4000,1.3355,0.3000,1.0355,0.0
13.388,0.0000,0.7062,0.4000,1.3351,0.3000,1.0351,7.5
13.488,0.0000,0.7062,0.4000,1.3353,0.3000,1.0353,42.5
13.588,0.0000,0.7062,0.4000,1.3387,0.3000,1.0387,51.9
13.688,0.0000,0.7062,0.4000,1.3389,0.3000,1.0389,51.9
13.789,0.0000,0.7062,0.4000,1.3355,0.3000,1.0355,51.8
13.889,0.0000,0.7062,0.4000,1.3396,0.3000,1.0396,52.0
13.989,0.0000,0.7062,0.4000,1.3386,0.3000,1.0386,51.9
14.089,0.0000,0.7062,0.4000,1.3387,0.3000,1.0387,51.9
14.189,0.0000,0.7062,0.4000,1.3353,0.3000,1.0353,51.8
14.289,0.0000,0.7062,0.4000,1.3437,0.3000,1.0437,52.2
14.389,0.0000,0.7062,0.4000,1.3401,0.3000,1.0401,52.0
14.489,0.0000,0.7062,0.4000,1.3403,0.3000,1.0403,52.0
14.589,0.0000,0.7062,0.4000,1.3399,0.3000,1.0399,52.0
14.689,0.0000,0.7062,0.4000,1.3482,0.3000,1.0482,52.4
14.789,0.0000,0.7062,0.4000,1.3480,0.3000,1.0480,52.4
14.889,0.0000,0.7062,0.4000,1.3396,0.3000,1.0396,52.0
14.989,0.0000,0.7062,0.4000,1.3355,0.3000,1.0355,51.8
15.089,0.0000,0.0000,0.4000,1.3372,0.3000,1.0372,200.0
15.190,0.0000,0.0000,0.4000,1.3411,0.3000,1.0411,200.0
15.290,1.7383,0.0402,0.4000,1.3399,0.3000,1.0399,182.5
15.390,0.0000,1.0333,0.4000,1.3406,0.3000,1.0406,147.5
15.490,1.7383,1.4204,0.4000,1.3363,0.3000,1.0363,112.5
15.590,1.7383,1.6817,0.4000,1.3324,0.3000,1.0324,77.5
15.690,0.0000,1.1456,0.4000,1.3355,0.3000,1.0355,51.8
15.790,1.7383,1.8758,0.4000,1.3363,0.3000,1.0363,51.8
15.890,0.0000,1.0504,0.4000,1.3365,0.3000,1.0365,51.8
15.990,1.7383,0.5593,0.4000,1.3360,0.3000,1.0360,51.8
16.090,0.0000,0.5593,0.4000,1.3398,0.3000,1.0398,52.0
16.190,0.0000,0.5593,0.4000,1.3360,0.3000,1.0360,51.8
16.290,0.0000,0.5593,0.4000,1.3399,0.3000,1.0399,52.0
16.390,0.0000,0.5593,0.4000,1.3403,0.3000,1.0403,52.0
16.490,0.0000,0.5593,0.4000,1.3401,0.3000,1.0401,52.0
16.590,0.0000,0.5593,0.4000,1.3398,0.3000,1.0398,52.0
16.690,0.0000,0.5593,0.4000,1.3408,0.3000,1.0408,52.0
16.790,0.0000,0.5593,0.4000,1.3356,0.3000,1.0356,51.8
16.890,0.0000,0.5593,0.4000,1.3358,0.3000,1.0358,51.8
16.990,0.0000,0.5593,0.4000,1.3356,0.3000,1.0356,51.8
17.090,0.0000,0.5593,0.4000,1.3401,0.3000,1.0401,52.0
17.190,0.0000,0.5593,0.4000,1.3401,0.3000,1.0401,52.0
17.290,0.0000,0.5593,0.4000,1.3401,0.3000,1.0401,52.0
17.390,0.0000,0.5593,0.4000,1.3355,0.3000,1.0355,51.8
17.490,0.0000,0.5593,0.4000,1.3356,0.3000,1.0356,51.8
17.590,0.0000,0.5593,0.4000,1.3351,0.3000,1.0351,51.8
17.690,0.0000,0.5593,0.4000,1.3398,0.3000,1.0398,52.0
17.790,0.0000,0.5593,0.4000,1.3360,0.3000,1.0360,51.8
17.890,0.0000,0.5593,0.4000,1.3355,0.3000,1.0355,51.8
17.990,0.0000,0.0000,0.4000,1.3372,0.3000,1.0372,200.0
18.091,1.7043,0.0416,0.4000,1.3355,0.3000,1.0355,182.1
18.191,1.7383,0.8972,0.4000,1.3399,0.3000,1.0399,147.1
18.291,1.7383,0.9779,0.4000,1.3355,0.3000,1.0355,112.1
18.391,1.7383,0.8656,0.4000,1.3348,0.3000,1.0348,77.1
18.491,1.7383,1.1170,0.4000,1.3305,0.3000,1.0305,51.5
18.591,0.0000,1.5262,0.4000,1.3346,0.3000,1.0346,51.7
18.691,0.0000,0.8894,0.4000,1.3353,0.3000,1.0353,51.8
18.791,0.0000,0.8894,0.4000,1.3355,0.3000,1.0355,51.8
18.891,0.0000,0.8894,0.4000,1.3355,0.3000,1.0355,51.8
18.991,0.0000,0.8894,0.4000,1.3353,0.3000,1.0353,51.8
19.091,0.0000,0.8894,0.4000,1.3356,0.3000,1.0356,51.8
19.191,0.0000,0.8894,0.4000,1.3350,0.3000,1.0350,51.7
19.291,0.0000,0.8894,0.4000,1.3351,0.3000,1.0351,51.8
19.391,0.0000,0.8894,0.4000,0.1676,0.3000,-0.1324,-6.6
19.491,0.0000,0.8894,0.4000,0.2034,0.3000,-0.0966,-4.8
19.592,0.0000,0.8894,0.4000,0.1050,0.3000,-0.1950,-9.8
19.692,0.0000,0.8894,0.4000,0.1050,0.3000,-0.1950,-9.8
19.792,0.0000,0.8894,0.4000,0.0683,0.3000,-0.2317,-255.0
19.892,0.0000,0.8894,0.4000,0.0715,0.3000,-0.2285,-255.0
19.992,1.7383,1.7206,0.4000,0.0621,0.3000,-0.2379,-255.0
20.092,1.7383,1.8099,0.4000,0.0652,0.3000,-0.2348,-255.0
