#correcteur=P,Kp=35.0,Ki=2.0,Kd=0.5,FF=190.8,Vc=0.40
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
55.748,2,0.8869,0.0000,0.4000,-1.0000,0.3000,0.4000,68.6
55.848,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
55.948,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
56.048,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,204.8
56.148,2,1.7383,0.0120,0.4000,-1.0000,0.3000,0.3880,204.3
56.248,2,0.0000,0.0120,0.4000,-1.0000,0.3000,0.3880,190.0
56.348,2,0.0000,0.0120,0.4000,-1.0000,0.3000,0.3880,190.0
56.448,2,0.0000,0.2082,0.4000,-1.0000,0.3000,0.1918,197.5
56.548,2,0.0000,0.2789,0.4000,-1.0000,0.3000,0.1211,195.0
56.648,2,1.7383,0.3321,0.4000,-1.0000,0.3000,0.0679,193.1
56.748,2,0.0000,0.3679,0.4000,-1.0000,0.3000,0.0321,191.9
56.848,2,1.7383,0.7450,0.4000,-1.0000,0.3000,-0.3450,178.7
56.948,2,1.7383,0.8676,0.4000,-1.0000,0.3000,-0.4676,174.4
57.048,2,0.0000,0.8233,0.4000,-1.0000,0.3000,-0.4233,176.0
57.148,2,1.7383,0.6976,0.4000,-1.0000,0.3000,-0.2976,180.3
57.248,2,0.0000,0.5866,0.4000,-1.0000,0.3000,-0.1866,184.2
57.348,2,1.7383,0.7645,0.4000,-1.0000,0.3000,-0.3645,178.0
57.448,2,0.0000,0.9482,0.4000,-1.0000,0.3000,-0.5482,171.6
57.548,2,0.0000,0.7954,0.4000,-1.0000,0.3000,-0.3954,176.9
57.648,2,0.0000,0.7404,0.4000,-1.0000,0.3000,-0.3404,178.9
57.748,2,0.0000,0.5518,0.4000,-1.0000,0.3000,-0.1518,185.5
57.848,2,1.7383,0.5352,0.4000,-1.0000,0.3000,-0.1352,186.0
57.949,2,0.0000,0.8967,0.4000,-1.0000,0.3000,-0.4967,173.4
58.049,2,1.7383,0.8874,0.4000,-1.0000,0.3000,-0.4874,173.7
58.149,2,0.0000,0.8004,0.4000,-1.0000,0.3000,-0.4004,176.8
58.249,2,0.0000,0.5970,0.4000,-1.0000,0.3000,-0.1970,183.9
58.349,2,1.7383,0.5440,0.4000,-1.0000,0.3000,-0.1440,185.7
58.449,2,1.7383,0.7400,0.4000,-1.0000,0.3000,-0.3400,178.9
58.549,2,0.0000,0.9323,0.4000,-1.0000,0.3000,-0.5323,172.1
58.649,2,0.0000,0.7896,0.4000,-1.0000,0.3000,-0.3896,177.1
58.749,2,1.7383,0.6326,0.4000,-1.0000,0.3000,-0.2326,182.6
58.849,2,0.0000,0.5127,0.4000,-1.0000,0.3000,-0.1127,186.8
58.949,2,1.7383,0.5172,0.4000,-1.0000,0.3000,-0.1172,186.7
59.049,2,0.0000,0.8775,0.4000,-1.0000,0.3000,-0.4775,174.1
59.149,2,0.0000,0.7920,0.4000,-1.0000,0.3000,-0.3920,177.0
