#correcteur=PID,Kp=100.0,Ki=20.0,Kd=70.0
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
9.176,0.0000,0.0000,0.4000,1.3020,0.3000,1.0020,200.0
9.276,0.0000,0.0000,0.4000,1.3075,0.3000,1.0075,200.0
9.376,0.0000,0.8260,0.4000,1.3073,0.3000,1.0073,165.0
9.476,3.4767,2.8781,0.4000,1.3020,0.3000,1.0020,130.0
9.576,1.7383,1.5839,0.4000,1.3072,0.3000,1.0072,117.0
9.676,3.4767,2.3225,0.4000,1.3024,0.3000,1.0024,112.3
9.776,1.7383,2.1383,0.4000,1.2981,0.3000,0.9981,114.1
9.876,1.7383,2.2924,0.4000,1.2938,0.3000,0.9938,109.4
9.976,1.7383,3.6161,0.4000,1.3027,0.3000,1.0027,119.0
10.077,1.7383,2.3148,0.4000,1.3020,0.3000,1.0020,119.5
10.177,1.7383,1.9743,0.4000,1.3020,0.3000,1.0020,116.9
10.277,1.7383,2.6833,0.4000,1.3024,0.3000,1.0024,130.3
10.377,1.7383,4.1595,0.4000,1.2984,0.3000,0.9984,115.0
10.477,3.4767,4.3485,0.4000,1.2984,0.3000,0.9984,122.6
10.577,3.4767,2.8341,0.4000,1.3031,0.3000,1.0031,137.4
10.677,1.7383,2.2478,0.4000,1.3068,0.3000,1.0068,131.8
10.777,3.4767,2.3320,0.4000,1.3067,0.3000,1.0067,138.4
10.877,1.7383,3.2863,0.4000,1.3029,0.3000,1.0029,137.6
10.977,1.7383,3.3600,0.4000,1.3022,0.3000,1.0022,143.8
11.077,3.4767,3.5149,0.4000,1.2981,0.3000,0.9981,134.6
11.177,3.4767,3.6101,0.4000,1.3029,0.3000,1.0029,143.4
11.277,3.4767,3.6501,0.4000,1.2938,0.3000,0.9938,137.2
11.377,3.4767,3.7764,0.4000,1.2940,0.3000,0.9940,139.3
11.478,3.4085,2.8031,0.4000,1.3031,0.3000,1.0031,148.4
11.578,3.4767,2.8731,0.4000,1.2941,0.3000,0.9941,149.3
11.678,3.4767,3.8162,0.4000,1.3073,0.3000,1.0073,159.1
11.778,3.4767,3.8028,0.4000,1.2941,0.3000,0.9941,147.5
11.878,5.2150,5.0592,0.4000,1.3070,0.3000,1.0070,0.0
11.978,3.4767,2.3337,0.4000,1.3070,0.3000,1.0070,0.0
12.078,1.7383,2.3053,0.4000,1.3022,0.3000,1.0022,0.0
12.178,1.7383,1.5269,0.4000,1.3025,0.3000,1.0025,0.0
12.278,1.7383,1.1128,0.4000,1.3031,0.3000,1.0031,0.0
12.378,0.0000,1.1128,0.4000,1.2986,0.3000,0.9986,0.0
12.478,0.0000,1.1128,0.4000,1.2983,0.3000,0.9983,0.0
12.578,0.0000,1.1128,0.4000,1.3022,0.3000,1.0022,0.0
12.678,0.0000,1.1128,0.4000,1.3031,0.3000,1.0031,15.2
12.778,0.0000,1.1128,0.4000,1.2984,0.3000,0.9984,50.2
12.878,0.0000,1.1128,0.4000,1.3031,0.3000,1.0031,85.2
12.978,0.0000,1.1128,0.4000,1.2988,0.3000,0.9988,120.2
13.078,0.0000,1.1128,0.4000,1.2984,0.3000,0.9984,155.2
13.178,0.0000,1.1128,0.4000,1.3065,0.3000,1.0065,190.2
13.278,0.0000,1.1128,0.4000,1.2986,0.3000,0.9986,178.0
13.378,6.9534,1.1128,0.4000,1.2977,0.3000,0.9977,185.1
13.478,0.0000,1.1128,0.4000,1.3019,0.3000,1.0019,193.3
13.578,0.0000,1.1128,0.4000,1.2974,0.3000,0.9974,183.8
13.678,0.0000,1.1128,0.4000,1.2971,0.3000,0.9971,184.8
13.778,0.0000,1.1128,0.4000,1.2969,0.3000,0.9969,193.1
13.878,0.0000,1.1128,0.4000,1.3015,0.3000,1.0015,202.0
13.978,1.7383,0.1508,0.4000,1.2974,0.3000,0.9974,191.8
14.078,1.7383,1.5056,0.4000,1.2977,0.3000,0.9977,200.6
14.178,1.7383,1.9394,0.4000,1.2974,0.3000,0.9974,201.3
14.278,1.7383,1.9504,0.4000,1.2977,0.3000,0.9977,204.3
14.379,3.4085,2.3629,0.4000,1.2974,0.3000,0.9974,211.5
14.479,1.7383,3.5599,0.4000,1.2974,0.3000,0.9974,207.3
14.579,3.4767,2.9840,0.4000,1.3024,0.3000,1.0024,216.3
14.679,3.4767,2.9971,0.4000,1.2936,0.3000,0.9936,205.4
14.779,3.4767,4.1619,0.4000,1.2976,0.3000,0.9976,205.4
14.879,5.2150,4.5785,0.4000,1.3058,0.3000,1.0058,227.9
14.979,3.4767,4.8984,0.4000,1.2928,0.3000,0.9928,0.0
15.079,1.7383,3.6246,0.4000,1.2929,0.3000,0.9929,0.0
15.179,3.4767,2.8110,0.4000,1.2972,0.3000,0.9972,0.0
15.279,1.7383,2.0822,0.4000,1.2929,0.3000,0.9929,0.0
15.379,0.0000,2.0272,0.4000,1.2977,0.3000,0.9977,0.0
15.479,1.7383,1.3006,0.4000,1.2931,0.3000,0.9931,0.0
15.579,0.0000,1.7361,0.4000,1.2979,0.3000,0.9979,0.0
15.679,0.0000,0.8110,0.4000,1.2972,0.3000,0.9972,30.5
15.779,0.0000,0.8110,0.4000,1.2931,0.3000,0.9931,65.5
15.880,0.0000,0.8110,0.4000,1.2972,0.3000,0.9972,100.8
15.980,1.7383,0.2528,0.4000,1.2929,0.3000,0.9929,135.8
16.080,0.0000,0.2528,0.4000,1.2933,0.3000,0.9933,170.8
16.180,1.7383,1.6601,0.4000,1.2972,0.3000,0.9972,205.8
16.280,0.0000,1.3990,0.4000,1.2976,0.3000,0.9976,240.8
