#correcteur=PID,Kp=12.0,Ki=3.0,Kd=0.5,FF=197.7,Vc=0.40
t_s,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
19.483,1.1228,0.0000,0.4000,1.8325,0.3000,1.5325,190.0
19.584,0.0000,0.0000,0.4000,1.6232,0.3000,1.3232,190.0
19.684,0.0000,0.0000,0.4000,1.8399,0.3000,1.5399,190.0
19.784,1.7383,0.5053,0.4000,1.8397,0.3000,1.5397,180.2
19.884,0.0000,0.9731,0.4000,1.8448,0.3000,1.5448,145.2
19.984,1.7383,1.7058,0.4000,1.8409,0.3000,1.5409,110.2
20.084,1.7383,1.7035,0.4000,1.8400,0.3000,1.5400,75.2
20.184,1.7383,2.0782,0.4000,1.8316,0.3000,1.5316,40.2
20.284,1.7383,1.7938,0.4000,1.8441,0.3000,1.5441,28.7
20.384,1.7383,1.6963,0.4000,1.8400,0.3000,1.5400,29.1
20.484,1.7383,1.5116,0.4000,1.8409,0.3000,1.5409,29.5
20.584,0.0000,1.2617,0.4000,1.8428,0.3000,1.5428,30.0
20.684,1.7383,0.9491,0.4000,1.8414,0.3000,1.5414,30.5
20.784,0.0000,0.6628,0.4000,1.8385,0.3000,1.5385,30.9
20.884,1.7383,0.5552,0.4000,1.8416,0.3000,1.5416,31.4
20.984,0.0000,0.5254,0.4000,1.8390,0.3000,1.5390,31.8
21.085,0.0000,0.5108,0.4000,1.8429,0.3000,1.5429,32.4
21.185,0.0000,0.5037,0.4000,1.8375,0.3000,1.5375,32.7
21.285,0.0000,0.0000,0.4000,1.8397,0.3000,1.5397,190.0
21.385,0.0000,0.0000,0.4000,1.8376,0.3000,1.5376,190.0
21.485,0.0000,0.0000,0.4000,1.8438,0.3000,1.5438,190.0
21.585,1.7383,0.6020,0.4000,1.8474,0.3000,1.5474,162.7
21.685,1.7383,0.9748,0.4000,1.8448,0.3000,1.5448,127.7
21.785,1.7383,1.7076,0.4000,1.8409,0.3000,1.5409,92.7
21.885,1.7383,1.6653,0.4000,1.8539,0.3000,1.5539,57.7
21.985,1.7383,1.9691,0.4000,1.8411,0.3000,1.5411,35.3
22.085,1.7383,1.6576,0.4000,1.8508,0.3000,1.5508,36.0
22.185,1.7383,1.3885,0.4000,1.8465,0.3000,1.5465,36.3
22.285,0.0000,1.4333,0.4000,1.8483,0.3000,1.5483,36.8
22.385,0.0000,1.1186,0.4000,1.8488,0.3000,1.5488,37.3
22.486,0.0000,0.9644,0.4000,1.8453,0.3000,1.5453,37.7
22.586,0.0000,0.8889,0.4000,1.8457,0.3000,1.5457,38.2
22.686,0.0000,0.8518,0.4000,1.8419,0.3000,1.5419,38.6
22.786,0.0000,0.0000,0.4000,1.8417,0.3000,1.5417,190.0
22.886,1.7383,0.1641,0.4000,1.8385,0.3000,1.5385,180.2
22.986,1.7383,0.3449,0.4000,1.8404,0.3000,1.5404,145.2
23.086,1.7383,0.9981,0.4000,1.8402,0.3000,1.5402,110.2
23.186,1.7383,1.1402,0.4000,1.8345,0.3000,1.5345,75.2
23.286,0.0000,1.7540,0.4000,1.8411,0.3000,1.5411,40.7
23.386,1.7383,1.4912,0.4000,1.8363,0.3000,1.5363,41.0
23.486,1.7383,1.2758,0.4000,1.8402,0.3000,1.5402,41.6
23.586,0.0000,1.3419,0.4000,1.8412,0.3000,1.5412,42.1
23.686,0.0000,1.0665,0.4000,1.8404,0.3000,1.5404,42.5
23.786,0.0000,0.9315,0.4000,1.8404,0.3000,1.5404,43.0
23.886,0.0000,0.8654,0.4000,1.8316,0.3000,1.5316,43.2
