#correcteur=PID,Kp=35.0,Ki=5.0,Kd=0.5,FF=190.8,Vc=0.40
t_s,mode,vitesse_freq_ms,vitesse_periode_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
60.547,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
60.647,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,190.0
60.747,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.0
60.847,2,0.0000,0.0000,0.4000,-1.0000,0.3000,0.4000,205.2
60.947,2,0.0000,0.0016,0.4000,-1.0000,0.3000,0.3984,205.3
61.047,2,0.0000,0.0016,0.4000,-1.0000,0.3000,0.3984,190.0
61.147,2,0.0000,0.0016,0.4000,-1.0000,0.3000,0.3984,205.4
61.247,2,0.0000,0.0016,0.4000,-1.0000,0.3000,0.3984,205.6
61.347,2,0.0000,0.1402,0.4000,-1.0000,0.3000,0.2598,200.4
61.448,2,0.0000,0.1901,0.4000,-1.0000,0.3000,0.2099,199.1
61.548,2,0.0000,0.2081,0.4000,-1.0000,0.3000,0.1919,198.7
61.648,2,0.0000,0.2683,0.4000,-1.0000,0.3000,0.1317,196.5
61.748,2,1.7383,0.3710,0.4000,-1.0000,0.3000,0.0290,192.2
61.848,2,1.7383,0.6740,0.4000,-1.0000,0.3000,-0.2740,180.0
61.948,2,1.7383,0.7871,0.4000,-1.0000,0.3000,-0.3871,178.8
62.048,2,0.0000,0.7519,0.4000,-1.0000,0.3000,-0.3519,179.6
62.148,2,0.0000,0.6253,0.4000,-1.0000,0.3000,-0.2253,184.2
62.248,2,1.7383,0.6567,0.4000,-1.0000,0.3000,-0.2567,182.0
62.348,3,0.0000,0.6567,0.4000,0.6205,0.3000,0.3205,165.0
62.448,2,0.0000,0.8276,0.4000,-1.0000,0.3000,-0.4276,175.1
62.548,2,1.7383,0.7664,0.4000,-1.0000,0.3000,-0.3664,178.8
62.648,2,1.7383,0.6894,0.4000,-1.0000,0.3000,-0.2894,180.6
62.748,2,1.7383,0.9081,0.4000,-1.0000,0.3000,-0.5081,170.3
62.848,2,1.7383,0.9578,0.4000,-1.0000,0.3000,-0.5578,171.7
62.948,2,0.0000,0.8737,0.4000,-1.0000,0.3000,-0.4737,174.1
63.048,2,0.0000,0.6396,0.4000,-1.0000,0.3000,-0.2396,182.8
63.148,2,1.7383,0.5710,0.4000,-1.0000,0.3000,-0.1710,184.4
63.248,2,1.7383,0.7578,0.4000,-1.0000,0.3000,-0.3578,175.6
63.348,2,0.0000,0.9464,0.4000,-1.0000,0.3000,-0.5464,170.2
63.448,2,0.0000,0.7733,0.4000,-1.0000,0.3000,-0.3733,177.7
63.548,2,0.0000,0.7109,0.4000,-1.0000,0.3000,-0.3109,179.4
63.648,2,0.0000,0.4962,0.4000,-1.0000,0.3000,-0.0962,187.4
63.748,2,0.0000,0.4189,0.4000,-1.0000,0.3000,-0.0189,189.6
63.848,2,1.7383,0.6697,0.4000,-1.0000,0.3000,-0.2697,178.2
63.948,2,0.0000,0.8793,0.4000,-1.0000,0.3000,-0.4793,172.2
64.048,2,0.0000,0.7400,0.4000,-1.0000,0.3000,-0.3400,178.4
64.148,2,0.0000,0.6899,0.4000,-1.0000,0.3000,-0.2899,179.7
64.248,2,0.0000,0.5188,0.4000,-1.0000,0.3000,-0.1188,186.0
64.349,2,1.7383,0.5229,0.4000,-1.0000,0.3000,-0.1229,184.8
64.449,2,1.7383,0.7792,0.4000,-1.0000,0.3000,-0.3792,173.8
64.549,2,1.7383,0.8506,0.4000,-1.0000,0.3000,-0.4506,174.2
64.649,2,0.0000,0.7862,0.4000,-1.0000,0.3000,-0.3862,176.1
