t_s,correcteur,vitesse_ms,consigne_vitesse_ms,distance_m,consigne_dist_m,erreur_m,commande_pwm
6.662,P,0.0000,0.4000,1.6154,0.3000,1.3154,35.0
6.762,P,0.0000,0.4000,-1.0000,0.3000,0.4000,36.0
6.862,P,0.0000,0.4000,1.6198,0.3000,1.3198,71.0
6.962,P,0.0000,0.4000,1.6196,0.3000,1.3196,98.0
7.062,P,0.0000,0.4000,1.6114,0.3000,1.3114,105.6
7.162,P,0.0000,0.4000,1.6116,0.3000,1.3116,113.6
7.262,P,0.0000,0.4000,1.6157,0.3000,1.3157,121.8
7.362,P,0.0000,0.4000,1.6073,0.3000,1.3073,129.4
7.462,P,0.0000,0.4000,1.6119,0.3000,1.3119,137.6
7.562,P,0.0000,0.4000,1.6112,0.3000,1.3112,145.6
7.662,P,0.0000,0.4000,1.6070,0.3000,1.3070,153.3
7.762,P,0.0000,0.4000,1.6070,0.3000,1.3070,161.3
7.862,P,0.0000,0.4000,1.6107,0.3000,1.3107,169.5
7.962,P,0.0000,0.4000,1.6109,0.3000,1.3109,177.5
8.062,P,0.0000,0.4000,1.6116,0.3000,1.3116,185.6
8.162,P,0.0000,0.4000,1.6126,0.3000,1.3126,193.6
8.262,P,0.0000,0.4000,1.6207,0.3000,1.3207,202.0
8.363,P,1.7043,0.4000,1.6203,0.3000,1.3203,196.8
8.463,P,0.0000,0.4000,1.6124,0.3000,1.3124,204.4
8.563,P,0.0000,0.4000,1.6166,0.3000,1.3166,199.6
8.663,P,1.7383,0.4000,1.6078,0.3000,1.3078,181.2
8.763,P,0.0000,0.4000,1.6118,0.3000,1.3118,176.4
8.863,P,1.7383,0.4000,1.6277,0.3000,1.3277,159.2
8.963,P,1.7383,0.4000,1.6898,0.3000,1.3898,144.3
9.063,P,1.7383,0.4000,1.6054,0.3000,1.3054,122.1
9.163,P,1.7383,0.4000,1.6462,0.3000,1.3462,106.1
9.263,P,1.7383,0.4000,1.6155,0.3000,1.3155,86.6
9.363,P,3.4767,0.4000,1.6109,0.3000,1.3109,68.4
9.463,P,3.4767,0.4000,1.6063,0.3000,1.3063,65.3
9.563,P,0.0000,0.4000,1.6071,0.3000,1.3071,69.4
9.663,P,1.7383,0.4000,1.6022,0.3000,1.3022,65.1
9.763,P,1.7383,0.4000,1.6049,0.3000,1.3049,65.2
9.864,P,0.0000,0.4000,1.6018,0.3000,1.3018,69.1
9.964,P,0.0000,0.4000,1.6104,0.3000,1.3104,69.5
10.064,P,1.7383,0.4000,1.6003,0.3000,1.3003,65.0
10.164,P,3.4767,0.4000,1.6054,0.3000,1.3054,65.3
10.264,P,1.7383,0.4000,1.6006,0.3000,1.3006,65.0
10.364,P,1.7383,0.4000,1.6042,0.3000,1.3042,65.2
10.464,P,1.7383,0.4000,1.6047,0.3000,1.3047,65.2
10.564,P,1.7383,0.4000,1.6083,0.3000,1.3083,65.4
10.664,P,0.0000,0.4000,1.6118,0.3000,1.3118,73.6
10.764,P,0.0000,0.4000,1.6116,0.3000,1.3116,81.6
10.864,P,0.0000,0.4000,1.6114,0.3000,1.3114,89.6
10.964,P,0.0000,0.4000,1.6025,0.3000,1.3025,97.1
11.064,P,0.0000,0.4000,1.6071,0.3000,1.3071,105.4
11.164,P,1.7383,0.4000,1.6095,0.3000,1.3095,100.5
11.264,P,0.0000,0.4000,1.6049,0.3000,1.3049,108.2
11.364,P,1.7383,0.4000,1.6049,0.3000,1.3049,103.2
11.464,P,0.0000,0.4000,1.6008,0.3000,1.3008,111.0
11.564,P,0.0000,0.4000,1.6092,0.3000,1.3092,106.5
11.664,P,0.0000,0.4000,1.6054,0.3000,1.3054,101.3
11.764,P,0.0000,0.4000,1.6056,0.3000,1.3056,96.3
11.864,P,0.0000,0.4000,1.6066,0.3000,1.3066,91.3
11.964,P,1.7383,0.4000,1.6006,0.3000,1.3006,73.0
12.064,P,0.0000,0.4000,1.6010,0.3000,1.3010,81.0
12.164,P,1.7383,0.4000,1.6011,0.3000,1.3011,65.1
12.264,P,1.7383,0.4000,1.6051,0.3000,1.3051,65.3
12.364,P,0.0000,0.4000,1.6023,0.3000,1.3023,73.1
12.464,P,1.7383,0.4000,1.6097,0.3000,1.3097,65.5
12.564,P,0.0000,0.4000,1.6100,0.3000,1.3100,73.5
12.664,P,0.0000,0.4000,1.6047,0.3000,1.3047,69.2
12.765,P,1.7383,0.4000,1.6040,0.3000,1.3040,65.2
12.865,P,1.7383,0.4000,1.6088,0.3000,1.3088,65.4
12.965,P,0.0000,0.4000,1.6061,0.3000,1.3061,73.3
13.065,P,0.0000,0.4000,1.6046,0.3000,1.3046,69.2
13.165,P,1.7383,0.4000,1.6037,0.3000,1.3037,65.2
13.265,P,1.7383,0.4000,1.6087,0.3000,1.3087,65.4
13.365,P,0.0000,0.4000,1.6044,0.3000,1.3044,73.2
13.465,P,0.0000,0.4000,1.6039,0.3000,1.3039,69.2
13.565,P,0.0000,0.4000,1.6039,0.3000,1.3039,77.2
13.665,P,0.0000,0.4000,1.6039,0.3000,1.3039,72.2
13.765,P,0.0000,0.4000,1.6042,0.3000,1.3042,69.2
13.865,P,1.7383,0.4000,1.6037,0.3000,1.3037,65.2
13.965,P,0.0000,0.4000,1.6040,0.3000,1.3040,73.2
14.065,P,0.0000,0.4000,1.6042,0.3000,1.3042,69.2
14.166,P,0.0000,0.4000,1.6042,0.3000,1.3042,69.3
14.266,P,3.4767,0.4000,1.6082,0.3000,1.3082,65.4
14.366,P,0.0000,0.4000,1.6082,0.3000,1.3082,73.4
14.466,P,1.7383,0.4000,1.6076,0.3000,1.3076,68.4
14.566,P,1.7383,0.4000,1.6076,0.3000,1.3076,65.4
14.666,P,0.0000,0.4000,1.6099,0.3000,1.3099,73.5
14.766,P,0.0000,0.4000,1.6039,0.3000,1.3039,69.2
14.866,P,1.7383,0.4000,1.6037,0.3000,1.3037,65.2
14.966,P,1.7383,0.4000,1.6037,0.3000,1.3037,65.2
15.066,P,0.0000,0.4000,1.6039,0.3000,1.3039,73.2
15.166,P,0.0000,0.4000,1.6078,0.3000,1.3078,69.4
15.266,P,0.0000,0.4000,1.6119,0.3000,1.3119,77.6
15.366,P,0.0000,0.4000,1.6076,0.3000,1.3076,72.4
15.466,P,0.0000,0.4000,1.6080,0.3000,1.3080,69.4
15.566,P,1.7383,0.4000,1.6035,0.3000,1.3035,65.2
15.666,P,0.0000,0.4000,1.6035,0.3000,1.3035,73.2
15.766,P,0.0000,0.4000,1.6039,0.3000,1.3039,69.2
15.866,P,0.0000,0.4000,1.6078,0.3000,1.3078,69.4
15.966,P,1.7383,0.4000,1.6075,0.3000,1.3075,65.4
16.066,P,0.0000,0.4000,1.6037,0.3000,1.3037,73.2
16.166,P,0.0000,0.4000,1.6037,0.3000,1.3037,69.2
16.266,P,0.0000,0.4000,1.6076,0.3000,1.3076,69.4
16.366,P,1.7383,0.4000,1.6075,0.3000,1.3075,65.4
16.466,P,0.0000,0.4000,1.6035,0.3000,1.3035,73.2
16.566,P,1.7383,0.4000,1.6112,0.3000,1.3112,68.6
16.666,P,1.7383,0.4000,1.6032,0.3000,1.3032,65.2
16.766,P,1.7383,0.4000,1.6076,0.3000,1.3076,65.4
16.866,P,0.0000,0.4000,1.6034,0.3000,1.3034,73.2
16.966,P,1.7383,0.4000,1.5989,0.3000,1.2989,67.9
17.067,P,0.0000,0.4000,1.6037,0.3000,1.3037,69.3
17.167,P,1.7383,0.4000,1.5994,0.3000,1.2994,65.0
17.267,P,0.0000,0.4000,1.6037,0.3000,1.3037,73.2
17.367,P,0.0000,0.4000,1.6075,0.3000,1.3075,69.4
17.467,P,0.0000,0.4000,1.6071,0.3000,1.3071,69.4
17.567,P,1.7383,0.4000,1.5994,0.3000,1.2994,65.0
17.667,P,0.0000,0.4000,1.6073,0.3000,1.3073,73.4
17.767,P,0.0000,0.4000,1.6034,0.3000,1.3034,69.2
17.867,P,0.0000,0.4000,1.6160,0.3000,1.3160,69.8
17.967,P,3.4767,0.4000,0.1669,0.3000,-0.1331,-6.7
18.067,P,0.0000,0.4000,0.1604,0.3000,-0.1396,-7.0
18.167,P,0.0000,0.4000,0.1213,0.3000,-0.1787,-8.9
18.267,P,0.0000,0.4000,0.1079,0.3000,-0.1921,-9.6
18.367,P,0.0000,0.4000,0.1213,0.3000,-0.1787,-8.9
18.467,P,0.0000,0.4000,0.2024,0.3000,-0.0976,-4.9
18.568,P,0.0000,0.4000,0.2979,0.3000,-0.0021,-0.1
18.668,P,0.0000,0.4000,0.3737,0.3000,0.0737,3.7
18.768,P,0.0000,0.4000,0.4461,0.3000,0.1461,15.3
18.868,P,0.0000,0.4000,0.5044,0.3000,0.2044,26.2
18.968,P,0.0000,0.4000,0.5507,0.3000,0.2507,36.5
19.068,P,0.0000,0.4000,0.6219,0.3000,0.3219,48.1
19.168,P,0.0000,0.4000,0.7229,0.3000,0.4229,61.1
19.268,P,0.0000,0.4000,0.6589,0.3000,0.3589,65.9
19.368,P,0.0000,0.4000,1.6116,0.3000,1.3116,92.1
19.468,P,0.0000,0.4000,1.6075,0.3000,1.3075,127.1
19.568,P,0.0000,0.4000,1.6034,0.3000,1.3034,137.2
19.668,P,0.0000,0.4000,1.5992,0.3000,1.2992,145.0
19.768,P,0.0000,0.4000,1.5996,0.3000,1.2996,153.0
19.868,P,0.0000,0.4000,1.6037,0.3000,1.3037,161.2
19.968,P,0.0000,0.4000,1.5992,0.3000,1.2992,169.0
20.068,P,0.0000,0.4000,1.6032,0.3000,1.3032,177.2
20.168,P,0.0000,0.4000,1.6073,0.3000,1.3073,185.4
20.268,P,0.0000,0.4000,1.6030,0.3000,1.3030,193.2
20.368,P,1.7383,0.4000,1.6073,0.3000,1.3073,188.4
20.468,P,1.7383,0.4000,1.6114,0.3000,1.3114,183.6
20.568,P,0.0000,0.4000,1.6075,0.3000,1.3075,178.4
20.668,P,1.7383,0.4000,1.6034,0.3000,1.3034,160.2
20.768,P,1.7383,0.4000,1.6030,0.3000,1.3030,142.2
20.868,P,1.7383,0.4000,1.6246,0.3000,1.3246,125.2
20.968,P,3.4767,0.4000,1.6119,0.3000,1.3119,106.6
21.068,P,3.4767,0.4000,1.6116,0.3000,1.3116,101.6
21.168,P,1.7383,0.4000,1.6075,0.3000,1.3075,83.4
21.268,P,1.7383,0.4000,1.6073,0.3000,1.3073,65.4
21.368,P,1.7383,0.4000,1.6032,0.3000,1.3032,65.2
21.469,P,0.0000,0.4000,1.6010,0.3000,1.3010,69.0
21.569,P,3.4767,0.4000,1.6123,0.3000,1.3123,65.6
21.669,P,0.0000,0.4000,1.6010,0.3000,1.3010,69.0
21.769,P,1.7383,0.4000,1.6035,0.3000,1.3035,65.2
21.869,P,0.0000,0.4000,1.6073,0.3000,1.3073,69.4
21.969,P,1.7383,0.4000,1.6116,0.3000,1.3116,65.6
22.069,P,0.0000,0.4000,1.6034,0.3000,1.3034,69.2
22.169,P,0.0000,0.4000,1.6080,0.3000,1.3080,69.4
22.269,P,1.7383,0.4000,1.6039,0.3000,1.3039,65.2
22.369,P,3.4767,0.4000,1.6118,0.3000,1.3118,65.6
22.469,P,3.4767,0.4000,1.6035,0.3000,1.3035,65.2
22.569,P,0.0000,0.4000,1.6116,0.3000,1.3116,73.6
22.669,P,1.7383,0.4000,1.6076,0.3000,1.3076,68.4
22.769,P,1.7383,0.4000,0.5876,0.3000,0.2876,33.4
22.870,P,0.0000,0.4000,0.6243,0.3000,0.3243,24.3
22.970,P,0.0000,0.4000,0.6045,0.3000,0.3045,19.2
23.070,P,0.0000,0.4000,0.6675,0.3000,0.3675,30.4
23.170,P,0.0000,0.4000,0.7038,0.3000,0.4038,40.2
23.270,P,0.0000,0.4000,0.7423,0.3000,0.4423,50.1
23.370,P,0.0000,0.4000,0.8247,0.3000,0.5247,62.2
23.470,P,0.0000,0.4000,0.7820,0.3000,0.4820,68.1
23.570,P,0.0000,0.4000,0.8085,0.3000,0.5085,77.4
23.670,P,0.0000,0.4000,0.7863,0.3000,0.4863,84.3
23.770,P,0.0000,0.4000,0.7997,0.3000,0.4997,93.0
23.870,P,0.0000,0.4000,0.7956,0.3000,0.4956,100.8
23.970,P,0.0000,0.4000,0.8009,0.3000,0.5009,109.0
24.070,P,0.0000,0.4000,0.7964,0.3000,0.4964,116.8
24.170,P,0.0000,0.4000,0.7994,0.3000,0.4994,125.0
24.270,P,0.0000,0.4000,0.8038,0.3000,0.5038,133.2
24.370,P,0.0000,0.4000,0.8155,0.3000,0.5155,141.8
24.470,P,0.0000,0.4000,0.8157,0.3000,0.5157,149.8
24.570,P,0.0000,0.4000,0.7983,0.3000,0.4983,156.9
24.670,P,0.0000,0.4000,0.8297,0.3000,0.5297,166.5
24.770,P,0.0000,0.4000,0.8055,0.3000,0.5055,165.3
24.870,P,0.0000,0.4000,0.8062,0.3000,0.5062,165.3
24.970,P,0.0000,0.4000,0.8193,0.3000,0.5193,166.0
25.070,P,0.0000,0.4000,0.8676,0.3000,0.5676,168.4
25.170,P,0.0000,0.4000,0.9983,0.3000,0.6983,174.9
25.270,P,0.0000,0.4000,0.9609,0.3000,0.6609,173.0
